Fecha;Vendedor;Tienda;Producto;Medio de pago;Calificación por atención;Club cliente frecuente;Valor
44711;Matías;Tienda A;Código digital PSN;Crédito;Positiva;Si;50374
44231;Ambrosio;Tienda D;Juego XBOX;Crédito;Negativa;No;59980
44739;María;Tienda A;Juego XBOX;Crédito;Positiva;No;28417
44308;Antonio;Tienda D;Juego PC;Crédito;Positiva;No;35176
44632;Antonio;Tienda D;Código digital NSW;Efectivo;Negativa;Si;42608
44587;Diego;Tienda C;Juego XBOX;Crédito;Negativa;Si;32695
44676;María;Tienda A;Suscripción;Débito;Negativa;No;62709
44770;Antonio;Tienda D;Código digital PSN;Débito;Positiva;Si;61335
44793;Antonio;Tienda D;Juego NSW;Débito;Neutra;Si;43019
44243;Antonio;Tienda D;Preventa Juego PS5;Efectivo;Neutra;Si;35982
44658;Matías;Tienda A;Código digital PSN;Efectivo;Neutra;Si;56244
44838;Ambrosio;Tienda D;Juego XBOX;Efectivo;Positiva;Si;63995
44429;Antonio;Tienda D;Juego NSW;Efectivo;Neutra;Si;46611
44352;Antonio;Tienda D;Código digital STEAM;Crédito;Positiva;No;51034
44295;Francisco;Tienda C;Suscripción;Efectivo;Neutra;Si;55619
44306;Ambrosio;Tienda D;Suscripción;Crédito;Negativa;No;30913
44781;Francisco;Tienda C;Código digital STEAM;Débito;Neutra;Si;33497
44312;María;Tienda A;Preventa Juego NSW;Efectivo;Neutra;No;32782
44790;Agustín;Tienda B;Preventa Juego NSW;Crédito;Neutra;Si;53764
44644;Antonio;Tienda D;Juego XBOX;Débito;Negativa;No;50629
44411;Agustín;Tienda B;Código digital NSW;Débito;Negativa;No;30238
44394;Ambrosio;Tienda D;Código digital STEAM;Efectivo;Negativa;No;49346
44327;María;Tienda A;Preventa Juego PS5;Crédito;Positiva;No;31041
44646;Antonio;Tienda D;Preventa Juego XBOX;Efectivo;Neutra;Si;44830
44414;Kike;Tienda B;Preventa Juego STEAM;Efectivo;Negativa;Si;45728
44649;Agustín;Tienda B;Código digital PSN;Efectivo;Positiva;Si;40804
44638;Kike;Tienda B;Suscripción;Efectivo;Positiva;No;30801
44570;María;Tienda A;Juego PS5;Efectivo;Positiva;No;47671
44815;Antonio;Tienda D;Juego NSW;Efectivo;Positiva;No;43217
44726;Agustín;Tienda B;Juego XBOX;Crédito;Negativa;Si;36581
44590;Matías;Tienda A;Juego PS5;Efectivo;Negativa;No;31753
44722;Diego;Tienda C;Código digital NSW;Efectivo;Neutra;Si;56292
44685;Antonio;Tienda D;Código digital PSN;Crédito;Neutra;Si;39602
44536;Antonio;Tienda D;Preventa Juego STEAM;Efectivo;Neutra;Si;48097
44354;María;Tienda A;Juego PS5;Efectivo;Neutra;No;38426
44376;Antonio;Tienda D;Código digital XBOX;Crédito;Neutra;No;49979
44721;María;Tienda A;Suscripción;Efectivo;Negativa;No;48108
44761;Antonio;Tienda D;Juego XBOX;Efectivo;Neutra;Si;52552
44854;Matías;Tienda A;Código digital PSN;Efectivo;Positiva;Si;33709
44640;Kike;Tienda B;Preventa Juego NSW;Efectivo;Negativa;No;62392
44390;Diego;Tienda C;Juego PC;Débito;Positiva;No;40498
44769;Diego;Tienda C;Juego PS5;Débito;Positiva;No;38357
44859;Ambrosio;Tienda D;Código digital PSN;Crédito;Negativa;No;56652
44848;María;Tienda A;Juego PS5;Débito;Positiva;Si;28784
44712;Antonio;Tienda D;Juego PC;Débito;Neutra;Si;60611
44852;Francisco;Tienda C;Preventa Juego NSW;Débito;Negativa;No;29792
44225;Antonio;Tienda D;Preventa Juego NSW;Débito;Neutra;No;34548
44854;Agustín;Tienda B;Juego NSW;Débito;Negativa;No;61221
44824;Agustín;Tienda B;Juego PS5;Débito;Negativa;No;45257
44197;Matías;Tienda A;Juego PS5;Efectivo;Positiva;Si;39369
44365;Ambrosio;Tienda D;Preventa Juego NSW;Débito;Positiva;Si;30841
44726;Ambrosio;Tienda D;Suscripción;Efectivo;Positiva;Si;27974
44596;Agustín;Tienda B;Código digital XBOX;Crédito;Negativa;Si;59410
44676;Kike;Tienda B;Juego PC;Débito;Negativa;No;35950
44812;María;Tienda A;Juego PC;Débito;Neutra;No;57948
44749;María;Tienda A;Preventa Juego XBOX;Efectivo;Negativa;Si;59229
44827;Diego;Tienda C;Suscripción;Efectivo;Positiva;No;29838
44794;Kike;Tienda B;Preventa Juego PS5;Efectivo;Positiva;Si;57985
44511;Kike;Tienda B;Juego XBOX;Efectivo;Neutra;Si;62893
44323;Diego;Tienda C;Juego PC;Débito;Negativa;Si;51459
44778;Diego;Tienda C;Código digital NSW;Efectivo;Neutra;Si;55005
44553;Matías;Tienda A;Juego PC;Débito;Negativa;No;40770
44272;Agustín;Tienda B;Juego PC;Débito;Neutra;Si;44318
44199;Diego;Tienda C;Código digital NSW;Efectivo;Neutra;Si;31668
44650;Diego;Tienda C;Juego PC;Efectivo;Neutra;No;53170
44504;Agustín;Tienda B;Preventa Juego PS5;Crédito;Positiva;No;61427
44303;Antonio;Tienda D;Juego XBOX;Crédito;Negativa;No;44437
44420;Kike;Tienda B;Código digital XBOX;Crédito;Neutra;No;28062
44268;Ambrosio;Tienda D;Preventa Juego XBOX;Efectivo;Positiva;Si;38707
44734;Agustín;Tienda B;Preventa Juego NSW;Efectivo;Neutra;No;49818
44435;María;Tienda A;Juego PS5;Débito;Negativa;Si;63465
44285;Ambrosio;Tienda D;Juego PS5;Efectivo;Neutra;No;53586
44780;Matías;Tienda A;Preventa Juego XBOX;Efectivo;Negativa;No;62502
44526;Ambrosio;Tienda D;Juego PC;Débito;Positiva;No;60472
44457;Francisco;Tienda C;Código digital PSN;Efectivo;Neutra;No;52175
44480;Antonio;Tienda D;Preventa Juego NSW;Débito;Negativa;Si;33196
44828;Diego;Tienda C;Código digital NSW;Débito;Negativa;No;43582
44228;Kike;Tienda B;Preventa Juego NSW;Efectivo;Neutra;Si;40921
44721;Agustín;Tienda B;Juego PS5;Efectivo;Positiva;No;54608
44317;Antonio;Tienda D;Suscripción;Débito;Neutra;Si;63240
44799;Kike;Tienda B;Código digital XBOX;Efectivo;Negativa;No;38033
44576;Antonio;Tienda D;Juego XBOX;Crédito;Negativa;No;52575
44778;Francisco;Tienda C;Código digital XBOX;Efectivo;Negativa;Si;61470
44753;Francisco;Tienda C;Juego XBOX;Efectivo;Positiva;No;55179
44365;Ambrosio;Tienda D;Preventa Juego NSW;Débito;Negativa;No;56794
44646;Agustín;Tienda B;Preventa Juego XBOX;Crédito;Negativa;No;41505
44567;María;Tienda A;Suscripción;Crédito;Negativa;Si;48841
44210;Francisco;Tienda C;Suscripción;Crédito;Neutra;No;47671
44280;Ambrosio;Tienda D;Código digital PSN;Crédito;Neutra;Si;45973
44456;Antonio;Tienda D;Código digital XBOX;Efectivo;Neutra;No;37264
44739;Agustín;Tienda B;Código digital STEAM;Débito;Positiva;No;52636
44261;Agustín;Tienda B;Preventa Juego PS5;Débito;Negativa;No;48304
44593;Ambrosio;Tienda D;Juego PC;Efectivo;Neutra;Si;41582
44413;María;Tienda A;Juego PC;Crédito;Positiva;Si;51759
44408;Agustín;Tienda B;Código digital STEAM;Efectivo;Positiva;Si;64386
44653;Diego;Tienda C;Suscripción;Débito;Neutra;Si;56283
44751;Matías;Tienda A;Preventa Juego NSW;Débito;Neutra;Si;34853
44351;Antonio;Tienda D;Código digital NSW;Efectivo;Negativa;Si;40424
44669;Ambrosio;Tienda D;Código digital STEAM;Débito;Positiva;Si;37597
44706;Ambrosio;Tienda D;Código digital STEAM;Crédito;Positiva;Si;41624
44383;María;Tienda A;Código digital XBOX;Efectivo;Positiva;Si;33949
44290;Diego;Tienda C;Código digital PSN;Efectivo;Positiva;Si;46872
44217;María;Tienda A;Código digital PSN;Débito;Neutra;No;48535
44555;Antonio;Tienda D;Código digital NSW;Crédito;Neutra;Si;57441
44433;Diego;Tienda C;Preventa Juego NSW;Efectivo;Neutra;No;49961
44541;Diego;Tienda C;Código digital PSN;Efectivo;Negativa;Si;61751
44781;María;Tienda A;Código digital STEAM;Crédito;Positiva;No;32197
44745;Agustín;Tienda B;Juego XBOX;Débito;Negativa;No;28021
44791;Antonio;Tienda D;Juego PS5;Efectivo;Neutra;Si;40623
44773;María;Tienda A;Código digital XBOX;Crédito;Negativa;Si;48463
44430;Francisco;Tienda C;Preventa Juego XBOX;Débito;Positiva;No;28540
44714;Francisco;Tienda C;Código digital NSW;Débito;Positiva;No;58313
44542;Diego;Tienda C;Código digital STEAM;Débito;Positiva;No;53116
44355;Ambrosio;Tienda D;Preventa Juego PS5;Efectivo;Negativa;Si;59855
44360;Ambrosio;Tienda D;Código digital PSN;Crédito;Positiva;Si;49317
44724;Agustín;Tienda B;Juego PC;Crédito;Positiva;Si;54425
44535;Ambrosio;Tienda D;Código digital PSN;Crédito;Positiva;No;51766
44433;Antonio;Tienda D;Código digital STEAM;Efectivo;Negativa;No;29173
44623;Antonio;Tienda D;Suscripción;Crédito;Positiva;Si;57611
44415;Kike;Tienda B;Juego XBOX;Efectivo;Neutra;No;46950
44816;Diego;Tienda C;Preventa Juego PS5;Efectivo;Negativa;Si;51064
44570;Francisco;Tienda C;Preventa Juego XBOX;Crédito;Neutra;Si;61746
44335;María;Tienda A;Juego NSW;Efectivo;Negativa;No;59905
44667;Matías;Tienda A;Código digital NSW;Crédito;Neutra;Si;54733
44657;Diego;Tienda C;Juego NSW;Crédito;Negativa;No;30249
44630;María;Tienda A;Suscripción;Crédito;Positiva;No;33156
44636;Kike;Tienda B;Juego NSW;Crédito;Negativa;Si;53814
44459;Diego;Tienda C;Código digital NSW;Débito;Neutra;No;50921
44222;Agustín;Tienda B;Código digital PSN;Crédito;Negativa;Si;41352
44341;Agustín;Tienda B;Código digital PSN;Crédito;Neutra;No;46163
44679;Ambrosio;Tienda D;Preventa Juego NSW;Efectivo;Neutra;Si;37639
44535;Antonio;Tienda D;Código digital NSW;Débito;Negativa;No;35386
44784;Agustín;Tienda B;Código digital STEAM;Efectivo;Negativa;Si;52855
44583;Kike;Tienda B;Código digital STEAM;Crédito;Neutra;No;34873
44239;Diego;Tienda C;Juego NSW;Efectivo;Negativa;No;53799
44848;Kike;Tienda B;Juego PC;Débito;Neutra;Si;48472
44702;Matías;Tienda A;Código digital STEAM;Efectivo;Negativa;Si;38938
44483;Matías;Tienda A;Juego PC;Crédito;Neutra;No;62441
44644;María;Tienda A;Código digital STEAM;Crédito;Positiva;No;52616
44702;Matías;Tienda A;Código digital STEAM;Débito;Negativa;No;58827
44415;Agustín;Tienda B;Juego PC;Efectivo;Negativa;Si;46433
44265;Diego;Tienda C;Juego PC;Crédito;Negativa;Si;30060
44766;Antonio;Tienda D;Preventa Juego STEAM;Efectivo;Positiva;No;36026
44696;Francisco;Tienda C;Suscripción;Débito;Neutra;Si;42677
44290;Matías;Tienda A;Juego NSW;Débito;Neutra;No;36877
44849;Kike;Tienda B;Preventa Juego NSW;Efectivo;Neutra;Si;62375
44260;Kike;Tienda B;Preventa Juego XBOX;Crédito;Negativa;No;50145
44658;Diego;Tienda C;Preventa Juego STEAM;Débito;Negativa;No;31786
44465;Antonio;Tienda D;Juego NSW;Crédito;Neutra;No;34195
44385;Antonio;Tienda D;Preventa Juego XBOX;Débito;Negativa;Si;48500
44321;Kike;Tienda B;Juego NSW;Efectivo;Negativa;No;52000
44842;Francisco;Tienda C;Código digital PSN;Débito;Negativa;No;33312
44842;María;Tienda A;Código digital STEAM;Crédito;Positiva;No;50625
44606;Francisco;Tienda C;Código digital XBOX;Efectivo;Neutra;No;42473
44353;Kike;Tienda B;Preventa Juego XBOX;Débito;Neutra;Si;39466
44218;Agustín;Tienda B;Juego NSW;Débito;Neutra;Si;63705
44738;Antonio;Tienda D;Juego XBOX;Débito;Positiva;No;51696
44735;Agustín;Tienda B;Preventa Juego PS5;Débito;Neutra;No;58011
44492;Ambrosio;Tienda D;Código digital XBOX;Efectivo;Neutra;No;58549
44808;Antonio;Tienda D;Código digital PSN;Efectivo;Positiva;Si;28848
44328;Matías;Tienda A;Juego PS5;Crédito;Positiva;Si;38106
44400;María;Tienda A;Preventa Juego XBOX;Crédito;Positiva;Si;31455
44602;Kike;Tienda B;Código digital PSN;Crédito;Positiva;No;64917
44436;Kike;Tienda B;Código digital XBOX;Efectivo;Neutra;No;55460
44579;Antonio;Tienda D;Juego XBOX;Efectivo;Negativa;Si;57855
44293;Diego;Tienda C;Suscripción;Efectivo;Positiva;Si;29898
44560;Diego;Tienda C;Juego PC;Efectivo;Negativa;Si;28403
44346;Ambrosio;Tienda D;Código digital STEAM;Efectivo;Negativa;Si;58671
44723;Kike;Tienda B;Suscripción;Efectivo;Negativa;Si;36310
44840;Matías;Tienda A;Código digital NSW;Efectivo;Neutra;No;64180
44684;Diego;Tienda C;Código digital XBOX;Crédito;Negativa;Si;33294
44222;Agustín;Tienda B;Juego NSW;Débito;Neutra;No;40207
44842;María;Tienda A;Preventa Juego STEAM;Débito;Negativa;Si;52029
44444;María;Tienda A;Código digital NSW;Crédito;Neutra;Si;52612
44277;Agustín;Tienda B;Juego NSW;Crédito;Neutra;Si;43014
44638;Kike;Tienda B;Preventa Juego NSW;Crédito;Positiva;No;34887
44209;Diego;Tienda C;Código digital PSN;Efectivo;Negativa;Si;52329
44786;Agustín;Tienda B;Juego PS5;Efectivo;Positiva;No;47139
44260;Diego;Tienda C;Juego NSW;Crédito;Neutra;Si;28934
44798;Antonio;Tienda D;Juego PC;Crédito;Positiva;No;39439
44523;Francisco;Tienda C;Preventa Juego PS5;Efectivo;Negativa;No;28670
44207;Matías;Tienda A;Código digital STEAM;Crédito;Neutra;Si;52222
44288;Francisco;Tienda C;Preventa Juego XBOX;Crédito;Positiva;Si;47524
44228;Matías;Tienda A;Código digital STEAM;Efectivo;Negativa;Si;50107
44525;Ambrosio;Tienda D;Preventa Juego STEAM;Efectivo;Neutra;No;45671
44620;Diego;Tienda C;Suscripción;Crédito;Neutra;Si;57753
44687;Antonio;Tienda D;Juego PC;Crédito;Negativa;No;33601
44812;Agustín;Tienda B;Suscripción;Crédito;Positiva;No;46115
44235;Ambrosio;Tienda D;Preventa Juego XBOX;Efectivo;Positiva;No;49660
44317;Agustín;Tienda B;Juego PC;Efectivo;Positiva;No;62361
44397;Francisco;Tienda C;Preventa Juego NSW;Efectivo;Neutra;No;51638
44568;Francisco;Tienda C;Suscripción;Crédito;Neutra;Si;48137
44529;Kike;Tienda B;Juego PS5;Efectivo;Negativa;Si;30414
44651;Agustín;Tienda B;Preventa Juego XBOX;Efectivo;Positiva;Si;43057
44748;Ambrosio;Tienda D;Juego PS5;Débito;Neutra;Si;40839
44859;Matías;Tienda A;Preventa Juego STEAM;Débito;Negativa;Si;53100
44504;Ambrosio;Tienda D;Suscripción;Débito;Negativa;Si;43181
44841;Agustín;Tienda B;Suscripción;Efectivo;Neutra;Si;46467
44773;Diego;Tienda C;Código digital PSN;Efectivo;Neutra;No;33655
44486;Antonio;Tienda D;Juego PS5;Débito;Neutra;No;61021
44706;María;Tienda A;Juego PS5;Crédito;Negativa;No;48205
44856;Ambrosio;Tienda D;Juego XBOX;Crédito;Positiva;No;61185
44468;Ambrosio;Tienda D;Juego PS5;Débito;Positiva;No;61102
44549;Diego;Tienda C;Juego NSW;Crédito;Negativa;No;40651
44473;Agustín;Tienda B;Código digital NSW;Efectivo;Positiva;No;39592
44361;Francisco;Tienda C;Código digital NSW;Débito;Positiva;Si;55488
44751;María;Tienda A;Código digital PSN;Débito;Neutra;Si;49367
44224;Matías;Tienda A;Código digital PSN;Efectivo;Positiva;No;28678
44798;Agustín;Tienda B;Juego PS5;Efectivo;Negativa;No;48487
44211;Francisco;Tienda C;Código digital NSW;Efectivo;Positiva;No;62974
44789;Francisco;Tienda C;Código digital STEAM;Crédito;Positiva;No;58244
44665;María;Tienda A;Juego XBOX;Efectivo;Neutra;No;63839
44703;Agustín;Tienda B;Preventa Juego PS5;Crédito;Positiva;No;40840
44202;Diego;Tienda C;Suscripción;Débito;Neutra;Si;38114
44817;Matías;Tienda A;Juego NSW;Crédito;Positiva;No;59481
44740;Matías;Tienda A;Preventa Juego STEAM;Crédito;Negativa;Si;45059
44499;Matías;Tienda A;Juego PC;Débito;Positiva;No;35600
44822;Kike;Tienda B;Juego PS5;Crédito;Positiva;No;31583
44807;Ambrosio;Tienda D;Suscripción;Débito;Neutra;Si;39878
44836;Francisco;Tienda C;Juego XBOX;Crédito;Neutra;Si;59325
44479;Diego;Tienda C;Juego PC;Crédito;Positiva;No;42268
44429;Matías;Tienda A;Código digital STEAM;Débito;Neutra;Si;60904
44378;María;Tienda A;Código digital PSN;Débito;Negativa;Si;51264
44404;María;Tienda A;Juego PS5;Débito;Neutra;Si;56312
44498;Ambrosio;Tienda D;Suscripción;Efectivo;Negativa;No;35715
44588;Francisco;Tienda C;Código digital PSN;Débito;Positiva;No;32268
44681;Kike;Tienda B;Suscripción;Crédito;Neutra;No;62879
44383;Diego;Tienda C;Código digital PSN;Efectivo;Negativa;Si;39069
44855;Francisco;Tienda C;Código digital XBOX;Efectivo;Negativa;No;30539
44768;Francisco;Tienda C;Código digital NSW;Crédito;Positiva;No;57438
44256;Francisco;Tienda C;Suscripción;Efectivo;Neutra;No;38190
44824;Matías;Tienda A;Código digital NSW;Débito;Positiva;No;61852
44713;Francisco;Tienda C;Código digital XBOX;Efectivo;Positiva;Si;58643
44363;Agustín;Tienda B;Preventa Juego PS5;Débito;Neutra;Si;47589
44380;Diego;Tienda C;Código digital STEAM;Débito;Negativa;No;30844
44748;Francisco;Tienda C;Código digital STEAM;Débito;Positiva;No;34866
44812;Matías;Tienda A;Código digital STEAM;Efectivo;Positiva;No;59635
44457;Ambrosio;Tienda D;Código digital STEAM;Débito;Positiva;No;29016
44218;Diego;Tienda C;Juego XBOX;Efectivo;Neutra;Si;44673
