Fecha;Vendedor;Tienda;Producto;Medio de pago;Valor
06-09-2022;María;Tienda A;Preventa Juego NSW;Crédito;$61.945
07-02-2021;Kike;Tienda B;Preventa Juego XBOX;Débito;$64.507
21-09-2021;Diego;Tienda C;Preventa Juego STEAM;Crédito;$30.314
17-02-2022;Diego;Tienda C;Juego XBOX;Crédito;$48.100
28-04-2021;Agustín;Tienda B;Juego PC;Débito;$41.212
29-07-2022;Matías;Tienda A;Juego NSW;Crédito;$40.178
15-09-2022;Francisco;Tienda C;Código digital XBOX;Débito;$37.573
25-05-2021;Ambrosio;Tienda D;Código digital STEAM;Débito;$59.826
12-02-2021;Kike;Tienda B;Código digital NSW;Débito;$43.266
09-12-2021;Kike;Tienda B;Preventa Juego NSW;Débito;$29.261
26-07-2021;Matías;Tienda A;Juego PS5;Crédito;$48.816
05-12-2021;Francisco;Tienda C;Juego XBOX;Crédito;$36.261
07-12-2021;Francisco;Tienda C;Preventa Juego XBOX;Débito;$29.905
04-05-2022;Agustín;Tienda B;Preventa Juego PS5;Débito;$32.198
16-05-2021;María;Tienda A;Código digital PSN;Débito;$64.114
19-04-2022;Agustín;Tienda B;Preventa Juego PS5;Débito;$40.941
20-09-2021;Diego;Tienda C;Juego XBOX;Crédito;$57.180
17-03-2022;Matías;Tienda A;Juego XBOX;Crédito;$29.225
20-05-2022;Matías;Tienda A;Código digital STEAM;Débito;$40.935
13-10-2022;Agustín;Tienda B;Preventa Juego PS5;Débito;$58.593
18-12-2021;Francisco;Tienda C;Preventa Juego PS5;Débito;$39.005
25-06-2021;Ambrosio;Tienda D;Código digital NSW;Crédito;$57.447
15-08-2021;Kike;Tienda B;Suscripción;Débito;$40.729
08-04-2022;Antonio;Tienda D;Preventa Juego NSW;Crédito;$46.620
03-02-2022;Kike;Tienda B;Suscripción;Crédito;$34.981
20-08-2021;Antonio;Tienda D;Juego XBOX;Crédito;$40.469
23-02-2022;Francisco;Tienda C;Código digital STEAM;Crédito;$35.416
14-02-2022;Francisco;Tienda C;Suscripción;Débito;$39.733
06-12-2021;Antonio;Tienda D;Código digital STEAM;Crédito;$53.798
19-10-2021;Agustín;Tienda B;Juego NSW;Crédito;$64.842
16-05-2021;Francisco;Tienda C;Juego XBOX;Crédito;$58.859
28-03-2021;Antonio;Tienda D;Código digital STEAM;Crédito;$39.290
17-01-2021;Diego;Tienda C;Código digital NSW;Débito;$49.886
27-01-2022;Ambrosio;Tienda D;Preventa Juego STEAM;Crédito;$53.159
08-06-2022;Francisco;Tienda C;Juego PC;Crédito;$52.860
18-04-2021;Matías;Tienda A;Código digital XBOX;Débito;$52.458
19-05-2022;Antonio;Tienda D;Código digital PSN;Crédito;$34.961
06-03-2022;Matías;Tienda A;Juego NSW;Débito;$37.067
26-06-2022;Francisco;Tienda C;Preventa Juego PS5;Crédito;$53.698
27-10-2022;Francisco;Tienda C;Código digital PSN;Crédito;$37.911
30-01-2022;Antonio;Tienda D;Código digital NSW;Débito;$45.855
11-10-2022;Francisco;Tienda C;Código digital PSN;Crédito;$43.605
08-01-2022;Antonio;Tienda D;Código digital PSN;Crédito;$54.072
22-11-2021;Kike;Tienda B;Preventa Juego NSW;Crédito;$47.665
15-04-2021;Antonio;Tienda D;Código digital PSN;Débito;$31.171
24-10-2022;Agustín;Tienda B;Juego PS5;Débito;$43.773
26-03-2021;Kike;Tienda B;Código digital PSN;Débito;$50.190
13-10-2021;Agustín;Tienda B;Código digital XBOX;Crédito;$41.440
11-07-2021;María;Tienda A;Preventa Juego XBOX;Crédito;$37.229
09-01-2021;Kike;Tienda B;Código digital XBOX;Débito;$29.357
11-05-2021;Antonio;Tienda D;Preventa Juego XBOX;Débito;$33.732
21-04-2021;Kike;Tienda B;Código digital PSN;Débito;$51.840
15-04-2021;Diego;Tienda C;Preventa Juego STEAM;Débito;$49.574
26-02-2022;Ambrosio;Tienda D;Código digital XBOX;Crédito;$28.136
07-06-2021;Antonio;Tienda D;Preventa Juego PS5;Débito;$43.007
20-06-2022;Ambrosio;Tienda D;Juego PS5;Débito;$31.839
16-05-2022;María;Tienda A;Juego XBOX;Débito;$48.515
22-11-2021;Kike;Tienda B;Preventa Juego NSW;Crédito;$53.036
01-12-2021;María;Tienda A;Código digital XBOX;Débito;$31.569
07-03-2021;Francisco;Tienda C;Preventa Juego PS5;Crédito;$51.478
15-08-2021;María;Tienda A;Código digital NSW;Crédito;$40.249
03-10-2021;Antonio;Tienda D;Juego XBOX;Crédito;$48.839
22-11-2021;Diego;Tienda C;Código digital XBOX;Débito;$29.707
10-11-2021;Diego;Tienda C;Código digital PSN;Débito;$31.149
28-11-2021;Matías;Tienda A;Juego XBOX;Crédito;$63.685
03-11-2021;Kike;Tienda B;Código digital NSW;Débito;$50.073
03-01-2021;Diego;Tienda C;Código digital STEAM;Crédito;$37.843
12-07-2022;Kike;Tienda B;Suscripción;Débito;$51.590
29-01-2022;Ambrosio;Tienda D;Preventa Juego STEAM;Débito;$51.176
13-10-2022;Kike;Tienda B;Código digital STEAM;Crédito;$38.183
25-05-2022;Matías;Tienda A;Preventa Juego PS5;Débito;$44.158
28-01-2021;María;Tienda A;Juego XBOX;Débito;$34.648
07-03-2022;Diego;Tienda C;Preventa Juego XBOX;Crédito;$45.248
10-02-2022;Matías;Tienda A;Preventa Juego STEAM;Crédito;$56.558
07-01-2021;Ambrosio;Tienda D;Preventa Juego XBOX;Crédito;$46.444
08-07-2021;Kike;Tienda B;Código digital PSN;Débito;$47.563
05-02-2021;Agustín;Tienda B;Juego XBOX;Débito;$35.724
29-01-2022;María;Tienda A;Código digital NSW;Crédito;$36.025
23-08-2021;Kike;Tienda B;Juego NSW;Crédito;$46.012
26-07-2021;Ambrosio;Tienda D;Juego PC;Débito;$31.905
01-03-2021;María;Tienda A;Juego XBOX;Crédito;$38.894
08-10-2021;Matías;Tienda A;Juego NSW;Crédito;$39.237
04-02-2021;Diego;Tienda C;Código digital NSW;Débito;$42.652
07-01-2022;Ambrosio;Tienda D;Juego NSW;Crédito;$45.793
04-06-2021;Agustín;Tienda B;Juego PS5;Débito;$43.975
25-06-2021;Ambrosio;Tienda D;Código digital STEAM;Débito;$31.232
06-03-2021;Matías;Tienda A;Código digital STEAM;Crédito;$45.112
09-10-2022;Diego;Tienda C;Preventa Juego XBOX;Débito;$44.597
02-12-2021;Matías;Tienda A;Juego NSW;Débito;$53.394
13-09-2022;Matías;Tienda A;Código digital NSW;Crédito;$33.542
29-05-2022;Agustín;Tienda B;Preventa Juego XBOX;Débito;$35.873
03-03-2022;Matías;Tienda A;Código digital NSW;Crédito;$64.420
14-05-2021;Francisco;Tienda C;Suscripción;Crédito;$58.683
06-08-2021;Agustín;Tienda B;Preventa Juego STEAM;Crédito;$52.556
03-02-2021;Ambrosio;Tienda D;Preventa Juego PS5;Crédito;$59.163
16-10-2021;Antonio;Tienda D;Juego PC;Crédito;$37.925
07-01-2021;María;Tienda A;Código digital XBOX;Débito;$35.188
30-10-2022;Matías;Tienda A;Suscripción;Crédito;$43.327
02-06-2022;Matías;Tienda A;Preventa Juego XBOX;Crédito;$33.059
20-12-2021;María;Tienda A;Código digital STEAM;Crédito;$32.984
16-09-2021;Diego;Tienda C;Suscripción;Débito;$40.719
08-09-2021;Diego;Tienda C;Juego PC;Débito;$33.105
20-01-2022;Antonio;Tienda D;Juego PS5;Débito;$40.106
14-02-2022;Agustín;Tienda B;Suscripción;Crédito;$38.879
28-06-2021;Francisco;Tienda C;Juego NSW;Crédito;$63.072
12-06-2022;Kike;Tienda B;Suscripción;Crédito;$42.709
24-06-2022;María;Tienda A;Juego XBOX;Crédito;$36.092
25-09-2021;Antonio;Tienda D;Código digital XBOX;Débito;$49.489
04-03-2021;Matías;Tienda A;Preventa Juego XBOX;Crédito;$61.518
21-02-2021;Ambrosio;Tienda D;Código digital NSW;Débito;$47.284
18-10-2021;Ambrosio;Tienda D;Preventa Juego PS5;Crédito;$54.598
13-04-2021;Agustín;Tienda B;Código digital NSW;Crédito;$36.852
29-08-2022;Diego;Tienda C;Juego XBOX;Crédito;$38.817
18-08-2022;Matías;Tienda A;Preventa Juego PS5;Débito;$62.241
16-06-2022;Antonio;Tienda D;Preventa Juego NSW;Crédito;$35.216
09-11-2021;Antonio;Tienda D;Preventa Juego STEAM;Crédito;$58.919
31-01-2021;Diego;Tienda C;Código digital PSN;Crédito;$37.142
10-06-2022;Ambrosio;Tienda D;Preventa Juego STEAM;Débito;$39.517
02-01-2021;Diego;Tienda C;Código digital XBOX;Crédito;$47.810
05-09-2022;Matías;Tienda A;Código digital STEAM;Débito;$58.499
14-08-2022;Matías;Tienda A;Código digital NSW;Débito;$31.973
22-12-2021;Kike;Tienda B;Código digital XBOX;Crédito;$39.596
28-05-2021;Kike;Tienda B;Código digital PSN;Débito;$34.096
03-04-2021;Francisco;Tienda C;Suscripción;Débito;$32.188
21-12-2021;Ambrosio;Tienda D;Código digital STEAM;Crédito;$60.503
26-06-2021;Ambrosio;Tienda D;Preventa Juego STEAM;Crédito;$33.510
29-07-2022;María;Tienda A;Suscripción;Débito;$49.256
15-06-2021;Francisco;Tienda C;Preventa Juego NSW;Débito;$37.953
08-01-2022;Antonio;Tienda D;Preventa Juego STEAM;Débito;$51.999
21-03-2021;Matías;Tienda A;Código digital XBOX;Crédito;$38.357
18-10-2022;María;Tienda A;Preventa Juego NSW;Crédito;$32.600
14-04-2021;Matías;Tienda A;Código digital PSN;Débito;$29.896
07-12-2021;Francisco;Tienda C;Código digital NSW;Crédito;$59.291
29-03-2021;Matías;Tienda A;Preventa Juego PS5;Crédito;$52.234
27-08-2022;Francisco;Tienda C;Juego NSW;Crédito;$60.952
04-09-2021;Matías;Tienda A;Juego XBOX;Débito;$40.333
25-01-2022;Diego;Tienda C;Juego PS5;Débito;$40.321
19-10-2022;Ambrosio;Tienda D;Código digital XBOX;Crédito;$51.951
07-12-2021;Matías;Tienda A;Código digital NSW;Crédito;$53.293
14-10-2022;Francisco;Tienda C;Juego XBOX;Débito;$30.289
16-08-2022;Kike;Tienda B;Suscripción;Crédito;$50.093
25-03-2021;María;Tienda A;Juego PC;Crédito;$33.985
11-12-2021;María;Tienda A;Código digital NSW;Débito;$57.463
16-04-2021;María;Tienda A;Juego NSW;Débito;$48.458
18-02-2021;Ambrosio;Tienda D;Código digital NSW;Crédito;$48.715
10-05-2022;Antonio;Tienda D;Código digital PSN;Débito;$38.404
21-09-2022;Agustín;Tienda B;Suscripción;Crédito;$53.921
08-10-2022;Kike;Tienda B;Preventa Juego PS5;Débito;$62.086
27-01-2021;Kike;Tienda B;Código digital XBOX;Crédito;$38.876
16-08-2022;Matías;Tienda A;Juego PS5;Crédito;$48.848
29-12-2021;Agustín;Tienda B;Juego PS5;Débito;$54.073
03-09-2022;Kike;Tienda B;Juego NSW;Crédito;$37.781
18-06-2021;Ambrosio;Tienda D;Código digital STEAM;Débito;$43.826
17-11-2021;Antonio;Tienda D;Preventa Juego NSW;Crédito;$43.365
24-10-2021;Diego;Tienda C;Juego PC;Débito;$61.028
25-09-2022;Antonio;Tienda D;Preventa Juego STEAM;Crédito;$48.671
08-07-2022;María;Tienda A;Código digital NSW;Crédito;$32.138
24-04-2022;Agustín;Tienda B;Juego XBOX;Crédito;$47.926
11-01-2022;Matías;Tienda A;Código digital PSN;Crédito;$47.873
01-05-2021;Kike;Tienda B;Preventa Juego PS5;Crédito;$32.291
24-05-2021;Ambrosio;Tienda D;Preventa Juego NSW;Crédito;$55.623
06-04-2021;Agustín;Tienda B;Preventa Juego NSW;Débito;$39.723
07-11-2021;Francisco;Tienda C;Código digital XBOX;Crédito;$36.489
06-03-2021;Ambrosio;Tienda D;Suscripción;Crédito;$44.392
12-11-2021;Kike;Tienda B;Código digital NSW;Crédito;$34.970
04-05-2022;Antonio;Tienda D;Suscripción;Débito;$34.127
10-11-2021;Ambrosio;Tienda D;Juego PC;Crédito;$60.641
02-10-2022;Ambrosio;Tienda D;Preventa Juego PS5;Débito;$56.491
27-08-2022;Agustín;Tienda B;Preventa Juego STEAM;Crédito;$30.146
03-03-2022;Agustín;Tienda B;Juego PC;Crédito;$53.814
30-05-2022;Francisco;Tienda C;Código digital XBOX;Crédito;$38.770
18-04-2021;Antonio;Tienda D;Código digital STEAM;Crédito;$41.020
20-10-2022;Antonio;Tienda D;Preventa Juego NSW;Débito;$47.071
27-06-2022;Diego;Tienda C;Código digital STEAM;Crédito;$41.514
27-10-2022;Agustín;Tienda B;Preventa Juego PS5;Crédito;$48.806
18-06-2021;Kike;Tienda B;Suscripción;Crédito;$46.335
28-03-2021;María;Tienda A;Preventa Juego NSW;Débito;$47.579
09-05-2021;María;Tienda A;Juego PC;Débito;$52.038
17-04-2022;Francisco;Tienda C;Juego NSW;Débito;$28.086
18-02-2022;Matías;Tienda A;Código digital XBOX;Crédito;$55.279
02-09-2022;Ambrosio;Tienda D;Juego NSW;Crédito;$42.201
31-01-2022;Antonio;Tienda D;Preventa Juego STEAM;Crédito;$40.116
15-08-2021;Kike;Tienda B;Juego PC;Débito;$59.056
09-05-2021;Diego;Tienda C;Preventa Juego NSW;Crédito;$57.835
30-10-2021;María;Tienda A;Suscripción;Crédito;$38.093
27-10-2021;Antonio;Tienda D;Juego PC;Débito;$61.081
18-10-2021;Kike;Tienda B;Juego PC;Crédito;$50.867
30-05-2022;Kike;Tienda B;Código digital STEAM;Crédito;$41.356
14-03-2022;Agustín;Tienda B;Juego XBOX;Crédito;$35.990
11-09-2021;Antonio;Tienda D;Preventa Juego NSW;Crédito;$58.002
30-05-2022;Matías;Tienda A;Preventa Juego XBOX;Débito;$55.177
11-07-2021;Agustín;Tienda B;Preventa Juego PS5;Débito;$33.683
08-10-2022;Ambrosio;Tienda D;Código digital STEAM;Crédito;$59.000
03-03-2021;Francisco;Tienda C;Preventa Juego XBOX;Crédito;$33.968
22-03-2021;María;Tienda A;Preventa Juego XBOX;Crédito;$61.585
09-09-2022;Ambrosio;Tienda D;Código digital NSW;Crédito;$57.651
01-03-2021;Diego;Tienda C;Juego XBOX;Crédito;$58.667
03-07-2022;Ambrosio;Tienda D;Juego PC;Crédito;$30.557
15-07-2021;Antonio;Tienda D;Juego PS5;Débito;$34.983
25-02-2021;Ambrosio;Tienda D;Juego XBOX;Crédito;$58.800
05-02-2021;Ambrosio;Tienda D;Suscripción;Crédito;$31.035
28-10-2022;Diego;Tienda C;Código digital STEAM;Débito;$54.760
02-11-2021;Antonio;Tienda D;Preventa Juego PS5;Crédito;$62.126
19-01-2021;María;Tienda A;Código digital NSW;Débito;$37.623
15-02-2022;Matías;Tienda A;Código digital STEAM;Débito;$60.197
11-07-2021;Matías;Tienda A;Preventa Juego STEAM;Crédito;$37.527
31-05-2022;Agustín;Tienda B;Juego NSW;Crédito;$57.517
01-09-2022;Ambrosio;Tienda D;Juego XBOX;Débito;$56.586
19-06-2021;Antonio;Tienda D;Juego NSW;Débito;$53.039
04-06-2021;Diego;Tienda C;Preventa Juego PS5;Débito;$32.069
28-10-2021;Agustín;Tienda B;Código digital NSW;Crédito;$44.742
16-04-2021;Kike;Tienda B;Código digital STEAM;Crédito;$34.667
03-03-2021;Ambrosio;Tienda D;Juego NSW;Débito;$45.181
01-08-2021;Matías;Tienda A;Suscripción;Crédito;$64.785
29-04-2021;Matías;Tienda A;Preventa Juego NSW;Débito;$58.073
24-02-2022;Matías;Tienda A;Juego PC;Crédito;$64.258
09-10-2022;Kike;Tienda B;Juego PS5;Débito;$43.803
20-09-2021;Kike;Tienda B;Suscripción;Crédito;$35.640
29-01-2022;Antonio;Tienda D;Preventa Juego NSW;Débito;$37.296
03-02-2022;Matías;Tienda A;Preventa Juego PS5;Crédito;$64.752
23-01-2021;María;Tienda A;Código digital PSN;Débito;$44.990
04-03-2022;Diego;Tienda C;Código digital STEAM;Débito;$49.943
26-02-2022;Ambrosio;Tienda D;Juego XBOX;Débito;$55.987
03-08-2022;Ambrosio;Tienda D;Juego PS5;Débito;$37.609
01-11-2021;Matías;Tienda A;Juego PC;Débito;$52.617
21-09-2021;Kike;Tienda B;Código digital STEAM;Débito;$46.039
06-08-2021;Antonio;Tienda D;Suscripción;Débito;$47.359
04-12-2021;Ambrosio;Tienda D;Preventa Juego XBOX;Crédito;$33.400
30-09-2021;Diego;Tienda C;Suscripción;Débito;$46.072
23-01-2021;Antonio;Tienda D;Código digital PSN;Crédito;$33.669
22-10-2022;Diego;Tienda C;Juego NSW;Débito;$28.357
04-01-2022;Francisco;Tienda C;Código digital XBOX;Débito;$48.270
20-10-2022;Matías;Tienda A;Suscripción;Crédito;$58.810
09-12-2021;Kike;Tienda B;Juego PS5;Crédito;$37.397
25-01-2022;Agustín;Tienda B;Preventa Juego PS5;Débito;$46.065
03-07-2021;Kike;Tienda B;Código digital PSN;Crédito;$41.891
23-02-2021;Antonio;Tienda D;Código digital NSW;Crédito;$55.545
19-10-2021;Ambrosio;Tienda D;Código digital XBOX;Débito;$48.984
21-11-2021;Ambrosio;Tienda D;Código digital STEAM;Débito;$40.536
14-10-2021;Ambrosio;Tienda D;Preventa Juego STEAM;Débito;$29.258
27-02-2021;Agustín;Tienda B;Juego PS5;Crédito;$44.040
05-06-2022;Ambrosio;Tienda D;Preventa Juego PS5;Débito;$34.611
29-10-2021;Ambrosio;Tienda D;Preventa Juego PS5;Crédito;$51.373
27-08-2021;Agustín;Tienda B;Juego PS5;Débito;$29.613
25-01-2022;Francisco;Tienda C;Preventa Juego XBOX;Crédito;$57.031
15-11-2021;Matías;Tienda A;Juego PC;Débito;$59.764
28-05-2022;Matías;Tienda A;Preventa Juego PS5;Crédito;$59.409
13-12-2021;Kike;Tienda B;Código digital XBOX;Crédito;$30.228
26-07-2021;Ambrosio;Tienda D;Juego NSW;Débito;$34.971
15-09-2021;Matías;Tienda A;Código digital XBOX;Crédito;$30.431
17-04-2021;Diego;Tienda C;Juego NSW;Crédito;$33.851
20-08-2021;Matías;Tienda A;Código digital PSN;Crédito;$50.894
13-10-2021;María;Tienda A;Suscripción;Crédito;$44.719
17-08-2021;Ambrosio;Tienda D;Preventa Juego PS5;Débito;$53.875
03-04-2021;Matías;Tienda A;Juego XBOX;Débito;$46.276
25-09-2022;Antonio;Tienda D;Código digital PSN;Crédito;$63.241
17-02-2021;Francisco;Tienda C;Preventa Juego NSW;Débito;$61.498
02-10-2022;Francisco;Tienda C;Preventa Juego STEAM;Débito;$61.530
16-01-2022;Antonio;Tienda D;Código digital PSN;Crédito;$61.085
18-01-2021;Francisco;Tienda C;Preventa Juego NSW;Crédito;$54.329
22-04-2021;Antonio;Tienda D;Juego NSW;Crédito;$50.902
16-09-2022;Francisco;Tienda C;Preventa Juego NSW;Crédito;$61.207
23-06-2021;María;Tienda A;Juego PS5;Débito;$47.290
26-10-2021;Antonio;Tienda D;Preventa Juego XBOX;Débito;$51.495
24-11-2021;María;Tienda A;Preventa Juego NSW;Débito;$34.189
15-11-2021;María;Tienda A;Juego NSW;Débito;$58.862
27-10-2022;Ambrosio;Tienda D;Código digital NSW;Crédito;$28.627
23-04-2022;Ambrosio;Tienda D;Código digital STEAM;Crédito;$44.911
15-10-2021;Diego;Tienda C;Juego PC;Débito;$48.510
11-09-2021;Diego;Tienda C;Juego PC;Débito;$28.127
16-09-2021;Diego;Tienda C;Juego NSW;Débito;$28.652
22-08-2021;María;Tienda A;Suscripción;Crédito;$58.791
26-05-2021;Antonio;Tienda D;Preventa Juego STEAM;Crédito;$61.146
12-10-2022;María;Tienda A;Código digital STEAM;Débito;$35.818
01-03-2021;Antonio;Tienda D;Código digital PSN;Crédito;$29.465
02-05-2021;Matías;Tienda A;Código digital STEAM;Débito;$42.208
15-06-2021;Antonio;Tienda D;Juego PS5;Débito;$41.919
20-08-2021;Francisco;Tienda C;Código digital XBOX;Débito;$59.558
26-09-2021;Diego;Tienda C;Juego PS5;Débito;$47.562
28-06-2021;Kike;Tienda B;Código digital PSN;Débito;$56.879
14-10-2022;Matías;Tienda A;Juego PS5;Crédito;$40.847
11-11-2021;Matías;Tienda A;Preventa Juego XBOX;Débito;$64.001
06-10-2022;Antonio;Tienda D;Suscripción;Crédito;$54.660
27-02-2022;Diego;Tienda C;Código digital NSW;Crédito;$50.942
20-04-2021;Antonio;Tienda D;Código digital NSW;Débito;$45.267
20-06-2021;Diego;Tienda C;Juego PC;Crédito;$50.146
27-06-2022;Matías;Tienda A;Juego XBOX;Débito;$37.821
11-07-2022;Diego;Tienda C;Preventa Juego XBOX;Crédito;$30.496
11-10-2021;Diego;Tienda C;Juego NSW;Crédito;$41.218
28-06-2021;Francisco;Tienda C;Preventa Juego PS5;Débito;$54.916
21-09-2021;Ambrosio;Tienda D;Juego XBOX;Crédito;$44.895
31-08-2022;Francisco;Tienda C;Preventa Juego STEAM;Débito;$31.267
18-08-2022;María;Tienda A;Código digital XBOX;Débito;$56.639
31-01-2021;Diego;Tienda C;Suscripción;Crédito;$47.560
03-06-2022;María;Tienda A;Preventa Juego XBOX;Crédito;$52.169
24-08-2022;Matías;Tienda A;Juego NSW;Débito;$40.844
17-03-2021;Antonio;Tienda D;Código digital XBOX;Crédito;$44.361
12-10-2021;Ambrosio;Tienda D;Juego XBOX;Crédito;$45.440
07-03-2022;Ambrosio;Tienda D;Preventa Juego NSW;Débito;$58.111
24-01-2021;Francisco;Tienda C;Código digital PSN;Débito;$56.992
04-12-2021;Matías;Tienda A;Juego NSW;Débito;$45.972
06-08-2022;Ambrosio;Tienda D;Juego XBOX;Débito;$63.650
28-10-2021;Diego;Tienda C;Juego XBOX;Débito;$57.389
06-05-2022;Matías;Tienda A;Juego XBOX;Crédito;$32.365
09-07-2021;Antonio;Tienda D;Preventa Juego PS5;Crédito;$41.252
08-10-2022;Kike;Tienda B;Preventa Juego NSW;Débito;$30.825
28-09-2021;Matías;Tienda A;Preventa Juego XBOX;Débito;$51.671
10-02-2021;Diego;Tienda C;Preventa Juego NSW;Crédito;$38.859
31-08-2021;Kike;Tienda B;Código digital STEAM;Débito;$45.653
06-04-2021;María;Tienda A;Preventa Juego NSW;Débito;$63.168
29-10-2022;Kike;Tienda B;Código digital XBOX;Débito;$32.416
25-09-2021;Agustín;Tienda B;Código digital STEAM;Débito;$39.893
19-02-2021;Kike;Tienda B;Código digital STEAM;Crédito;$63.747
20-12-2021;Diego;Tienda C;Suscripción;Crédito;$28.658
15-03-2021;Francisco;Tienda C;Código digital STEAM;Débito;$60.877
14-10-2021;Agustín;Tienda B;Preventa Juego PS5;Débito;$32.389
10-04-2021;Ambrosio;Tienda D;Código digital XBOX;Crédito;$48.785
25-03-2021;María;Tienda A;Código digital NSW;Crédito;$43.246
04-02-2022;María;Tienda A;Juego PS5;Débito;$49.123
09-11-2021;María;Tienda A;Suscripción;Crédito;$29.172
22-09-2021;Ambrosio;Tienda D;Juego XBOX;Débito;$54.077
21-07-2021;María;Tienda A;Juego NSW;Débito;$49.003
05-08-2021;Francisco;Tienda C;Preventa Juego STEAM;Crédito;$34.039
18-05-2022;Diego;Tienda C;Juego PS5;Débito;$58.977
19-02-2022;Francisco;Tienda C;Juego NSW;Débito;$53.724
29-08-2022;Francisco;Tienda C;Juego NSW;Crédito;$47.651
02-06-2022;Ambrosio;Tienda D;Preventa Juego NSW;Débito;$57.076
22-03-2021;Agustín;Tienda B;Suscripción;Crédito;$44.247
16-06-2022;Antonio;Tienda D;Preventa Juego STEAM;Débito;$34.153
02-12-2021;Antonio;Tienda D;Preventa Juego PS5;Crédito;$44.753
03-12-2021;María;Tienda A;Suscripción;Débito;$51.549
21-04-2022;María;Tienda A;Código digital NSW;Crédito;$40.988
23-01-2022;Francisco;Tienda C;Juego XBOX;Crédito;$44.827
03-03-2021;Ambrosio;Tienda D;Código digital NSW;Débito;$49.406
25-10-2021;Agustín;Tienda B;Código digital STEAM;Débito;$33.346
22-04-2022;Kike;Tienda B;Preventa Juego XBOX;Crédito;$28.728
08-07-2022;Antonio;Tienda D;Código digital STEAM;Débito;$52.856
04-06-2022;Ambrosio;Tienda D;Código digital XBOX;Crédito;$52.962
17-10-2022;Agustín;Tienda B;Preventa Juego XBOX;Crédito;$33.058
22-03-2022;Diego;Tienda C;Preventa Juego PS5;Crédito;$52.610
18-09-2021;Diego;Tienda C;Preventa Juego XBOX;Débito;$30.959
23-09-2021;Agustín;Tienda B;Preventa Juego NSW;Crédito;$33.428
21-03-2021;Ambrosio;Tienda D;Código digital STEAM;Crédito;$35.427
26-03-2021;Kike;Tienda B;Código digital NSW;Crédito;$36.161
23-05-2022;Francisco;Tienda C;Código digital STEAM;Crédito;$59.582
09-03-2022;Diego;Tienda C;Código digital PSN;Crédito;$58.594
25-05-2021;Kike;Tienda B;Juego NSW;Débito;$42.762
03-04-2022;Francisco;Tienda C;Código digital XBOX;Crédito;$47.389
07-02-2021;Matías;Tienda A;Juego PS5;Crédito;$38.583
09-03-2022;Matías;Tienda A;Preventa Juego PS5;Débito;$36.237
29-03-2022;Kike;Tienda B;Juego XBOX;Débito;$39.709
30-06-2022;Diego;Tienda C;Juego XBOX;Crédito;$37.409
11-10-2021;Diego;Tienda C;Preventa Juego XBOX;Crédito;$53.093
31-03-2022;Francisco;Tienda C;Código digital XBOX;Crédito;$47.647
